tier1,tier2,tier3,Last_Update,Confirmed,Deaths,Recovered,Active,shpj,nz_update_time
Bahamas,Caribbean,The Americas,2020:04:20 03:30:32,60,9,11,40,"Bahamas, The",20-April
Bahrain,West Asia,Asia,2020:04:20 03:30:32,1881,7,759,1115,Bahrain,20-April
Bangladesh,South Asia,Asia,2020:04:20 03:30:32,2456,91,75,2290,Bangladesh,20-April
Barbados,Caribbean,The Americas,2020:04:20 03:30:32,75,5,19,51,Barbados,20-April
Belarus,East Europe,Europe,2020:04:20 03:30:32,4779,47,494,4238,Belarus,20-April
Belgium,West Europe,Europe,2020:04:20 03:30:32,38496,5683,8757,24056,Belgium,20-April
Belize,Central America,The Americas,2020:04:20 03:30:32,18,2,2,14,Belize,20-April
Benin,West Africa,Africa,2020:04:20 03:30:32,35,1,18,16,Benin,20-April
Bhutan,South Asia,Asia,2020:04:20 03:30:32,5,0,2,3,Bhutan,20-April
Bolivia,South America,The Americas,2020:04:20 03:30:32,564,33,31,500,Bolivia,20-April
Bosnia and Herzegovina,South Europe,Europe,2020:04:20 03:30:32,1285,48,347,890,Bosnia and Herzegovina,20-April
Botswana,Southern Africa,Africa,2020:04:20 03:30:32,20,1,0,19,Botswana,20-April
Brazil,South America,The Americas,2020:04:20 03:30:32,38654,2462,22130,14062,Brazil,20-April
Brunei,Southeast Asia,Asia,2020:04:20 03:30:32,138,1,115,22,Brunei,20-April
Bulgaria,East Europe,Europe,2020:04:20 03:30:32,894,42,161,691,Bulgaria,20-April
